Country Name,Stringent Index,year,Gini Index,GDP per capita,Population Density,Hospital Beds,Quarter_only,Quarter,Marginal Mortality,Gini Category
Albania,84.26,2020,29.4,5370.778623,103.5711314,2.91,Q1,2020Q1,0.5285693495319871,Low
Argentina,100.0,2020,42.7,8535.59938,16.51336651,3.2,Q1,2020Q1,0.059745133897143,High
Austria,81.48,2020,29.8,48716.40989,108.0570044,7.06,Q1,2020Q1,1.5027704807430056,Low
Belgium,81.48,2020,26.0,45906.28758,378.3893225,5.52,Q1,2020Q1,6.1099245627980645,Low
Benin,70.83,2020,34.4,1197.501364,115.9113959,0.47,Q1,2020Q1,0.0,Medium
Bhutan,83.33,2020,28.5,3191.66907,20.1889355,2.12,Q1,2020Q1,0.0,Low
Bolivia,96.3,2020,43.6,3099.94219,10.90768854,1.36,Q1,2020Q1,0.05077732037755646,High
Brazil,74.54,2020,48.9,7074.193783,24.96498527,2.43,Q1,2020Q1,0.09632856748464573,High
Bulgaria,73.15,2020,40.5,10198.53883,63.87265107,7.77,Q1,2020Q1,0.11537327219511351,High
Burkina Faso,84.26,2020,37.4,825.2370388,78.50398392,0.2,Q1,2020Q1,0.06518088393659018,Medium
Chile,75.93,2020,47.0,13114.81547,26.0521726,2.03,Q1,2020Q1,0.06194947565963802,High
China,73.61,2020,37.1,10408.71955,150.3055428,5.0,Q1,2020Q1,0.23549004322868686,Medium
Colombia,87.96,2020,53.5,5339.687114,45.63316539,1.69,Q1,2020Q1,0.03160181897699895,Very High
Costa Rica,71.3,2020,49.2,12394.0494,98.59616138,1.15,Q1,2020Q1,0.0397273117322697,High
Croatia,96.3,2020,29.5,14808.46202,69.9464975,5.6,Q1,2020Q1,0.15328779323316147,Low
Czechia,82.41,2020,26.2,23472.89155,138.5759288,6.6,Q1,2020Q1,0.2897776358594403,Low
Denmark,72.22,2020,27.5,60985.48856,145.7851,2.59,Q1,2020Q1,1.5433676006670092,Low
Dominican Republic,92.59,2020,39.6,7162.291752,228.3973491,1.42,Q1,2020Q1,0.4632867926927864,Medium
Ecuador,93.52,2020,47.3,5463.645096,70.64770897,1.32,Q1,2020Q1,0.4274462678668978,High
El Salvador,88.89,2020,39.0,3997.192796,300.9012066,1.08,Q1,2020Q1,0.01603933357852128,Medium
Estonia,77.78,2020,30.7,23933.99394,31.09992982,4.46,Q1,2020Q1,0.3008600083338222,Medium
Finland,71.3,2020,27.1,48828.68469,18.19287688,2.83,Q1,2020Q1,0.9223185351845532,Low
France,87.96,2020,30.7,39169.8606,123.4594937,6.0,Q1,2020Q1,5.2158906858186205,Medium
Georgia,100.0,2020,34.5,4300.857013,65.13027048,4.94,Q1,2020Q1,0.0,Medium
Germany,76.85,2020,32.4,47379.76519,238.0173188,7.8,Q1,2020Q1,0.701050858401904,Medium
Hungary,76.85,2020,29.7,16131.95404,106.8392395,6.76,Q1,2020Q1,0.16410005631708807,Low
India,100.0,2020,33.8,1907.042516,471.7551502,1.62,Q1,2020Q1,0.0024953342685442165,Medium
Indonesia,50.93,2020,35.3,3853.702888,146.3712836,1.4,Q1,2020Q1,0.04948786140266516,Medium
Ireland,85.19,2020,29.2,87567.1149,72.36728117,2.91,Q1,2020Q1,1.4241636849493178,Low
Israel,81.48,2020,37.8,44679.77158,425.836414,3.07,Q1,2020Q1,0.22788683790734773,Medium
Italy,85.19,2020,35.2,32091.48666,200.9991005,3.18,Q1,2020Q1,20.908883316065445,Medium
Jamaica,75.0,2020,40.2,4879.440246,261.379409,1.71,Q1,2020Q1,0.03532646422012061,High
Kazakhstan,92.13,2020,28.7,8781.507978,7.216400711,6.72,Q1,2020Q1,0.010265824807437509,Low
Latvia,61.11,2020,35.7,17564.23215,30.53911297,5.3,Q1,2020Q1,0.0,Medium
Lithuania,81.48,2020,36.0,20541.82499,44.63246567,5.96,Q1,2020Q1,0.14311858985253417,Medium
Luxembourg,79.63,2020,33.4,116905.3704,244.8742649,4.19,Q1,2020Q1,3.648367197054657,Medium
Malaysia,78.7,2020,40.7,9957.526267,103.1488601,1.97,Q1,2020Q1,0.1416365477531457,High
Malta,81.48,2020,31.4,31796.82134,1610.4125,4.38,Q1,2020Q1,0.0,Medium
Mexico,82.41,2020,44.6,8841.27075,65.22752849,1.0,Q1,2020Q1,0.02287083308996927,High
Moldova,87.04,2020,25.7,4375.778893,91.74732605,5.57,Q1,2020Q1,0.15179516760083941,Low
Mongolia,61.11,2020,31.4,4001.251931,2.136237218,8.22,Q1,2020Q1,0.0,Medium
Nepal,96.3,2020,30.0,1154.215176,202.0688804,0.28,Q1,2020Q1,0.0,Medium
Netherlands,78.7,2020,26.0,53467.92774,518.013068,2.91,Q1,2020Q1,5.962789897657885,Low
Niger,66.67,2020,32.9,579.5124958,18.72393858,0.27,Q1,2020Q1,0.012648827687676665,Medium
Panama,79.63,2020,50.9,13290.56083,57.87626045,1.92,Q1,2020Q1,0.6987695367227849,Very High
Paraguay,79.63,2020,43.5,5365.472207,16.62154291,1.01,Q1,2020Q1,0.0454288093457358,High
Peru,94.44,2020,43.7,6133.325524,25.65513984,1.64,Q1,2020Q1,0.4202374286658384,High
